Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_15	-22385.54	44779.08	1427606.88	379.87	15.5288,0.2158,0.654,0.0595
1	Round_2_Replicate_4	-4194.82	8397.64	7917.61	987.08	0.3262,1.4697,0.1088,0.0239
1	Round_2_Replicate_2	-6285.12	12578.24	46931.75	778.42	6.341,0.6437,0.1142,0.0184
1	Round_3_Replicate_4	-5348.59	10705.18	16300.09	1154.76	0.0376,3.1046,0.0242,0.0083
1	Round_3_Replicate_1	-5366.9	10741.8	1146476164.66	749.62	2.612,1.7432,0.1115,0.0093
1	Round_2_Replicate_3	-30968.84	61945.68	27249834.63	726.39	3.0504,0.0816,0.5262,0.0083
1	Round_2_Replicate_15	-10031.55	20071.1	216557.82	306.16	1.2801,6.3942,1.2326,0.1394
1	Round_2_Replicate_5	-7248.34	14504.68	3395790061642366.5	967.67	0.7521,4.1527,0.0332,0.0521
1	Round_3_Replicate_3	-3757.39	7522.78	8726.09	1118.43	0.2839,1.0434,0.0555,0.0326
1	Round_3_Replicate_5	-3733.72	7475.44	16361.68	1211.52	0.0917,1.2009,0.0208,0.0225
1	Round_2_Replicate_4	-6969.09	13946.18	9143602.19	1063.86	5.3362,0.2844,0.0362,0.0321
1	Round_3_Replicate_2	-4146.69	8301.38	7264.76	1087.42	0.3918,0.9622,0.0707,0.0846
1	Round_3_Replicate_1	-4730.77	9469.54	10853.79	712.46	0.7051,2.6743,0.2078,0.0633
1	Round_2_Replicate_6	-9262.42	18532.84	29416635597168.4	607.1	3.187,5.3659,0.13,0.359
1	Round_3_Replicate_4	-3895.07	7798.14	206955.66	1182.76	0.0535,8.9034,0.0111,0.0067
1	Round_3_Replicate_6	-4006.17	8020.34	5210.13	1347.23	0.0753,0.5401,0.0246,0.002
1	Round_2_Replicate_5	-17149.6	34307.2	163799.31	1002.61	4.3603,0.0567,0.0943,0.0314
1	Round_3_Replicate_3	-4927.96	9863.92	24683.5	553.13	1.5353,3.9838,0.2596,0.0585
1	Round_2_Replicate_7	-11749.5	23507.0	9.81756966407249e+23	856.97	2.364,15.8454,0.0393,0.036
1	Round_3_Replicate_5	-4007.77	8023.54	503477.63	933.84	0.2581,7.7275,0.0482,0.0114
1	Round_3_Replicate_2	-4885.9	9779.8	13354.8	715.53	0.3621,5.19,0.1497,0.0186
1	Round_3_Replicate_7	-3633.51	7275.02	17263.73	1258.61	0.1046,0.7716,0.022,0.0017
1	Round_2_Replicate_6	-10409.44	20826.88	11790718.92	1369.88	0.3134,0.0791,0.0085,0.4892
1	Round_3_Replicate_4	-4495.67	8999.34	8022.47	775.58	1.1349,1.5747,0.1774,0.0427
1	Round_3_Replicate_6	-4874.03	9756.06	15042236328.03	1150.0	0.3076,1.0256,0.0226,0.0072
1	Round_2_Replicate_8	-4547.53	9103.06	281604.64	1097.08	0.2031,1.8646,0.0333,0.1681
1	Round_3_Replicate_3	-7047.01	14102.02	44808.81	667.55	0.1703,13.1528,0.1436,0.0065
1	Round_3_Replicate_8	-3680.04	7368.08	27725.86	1079.01	0.1874,1.9886,0.0399,0.0184
